City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ambodifotatra,-16.9833,49.85,23.43,79,72,5.76,MG,1694724292
1,nea ionia,38.0373,23.7595,26.45,62,0,1.34,GR,1694724292
2,west island,-12.1568,96.8225,24.99,73,40,4.63,CC,1694724292
3,alice springs,-23.7,133.8833,9.75,40,0,2.06,AU,1694724085
4,hawaiian paradise park,19.5933,-154.9731,27.16,84,100,1.54,US,1694724293
5,blackmans bay,-43.0167,147.3167,15.07,72,90,4.02,AU,1694724293
6,ancud,-41.8697,-73.8203,11.33,97,100,11.9,CL,1694724293
7,waitangi,-43.9535,-176.5597,12.12,91,99,3.13,NZ,1694724293
8,port elizabeth,-33.918,25.5701,13.16,82,0,3.09,ZA,1694724294
9,talnakh,69.4865,88.3972,8.45,93,100,6.1,RU,1694724294
10,polyarnyy,69.1989,33.4478,5.39,77,56,0.91,RU,1694724294
11,utrik,11.2278,169.8474,28.55,77,22,6.61,MH,1694724294
12,kavieng,-2.5744,150.7967,27.48,78,96,5.94,PG,1694724294
13,grytviken,-54.2811,-36.5092,-7.1,81,20,1.77,GS,1694724295
14,lata,40.1629,-8.3327,20.51,86,82,1.76,PT,1694724295
15,vorgashor,67.5833,63.95,9.2,91,100,0.75,RU,1694724295
16,adamstown,-25.066,-130.1015,18.31,58,99,9.99,PN,1694724295
17,chibuto,-24.6867,33.5306,19.32,53,0,4.24,MZ,1694724296
18,puerto natales,-51.7236,-72.4875,4.16,85,100,1.12,CL,1694724296
19,nantucket,41.2835,-70.0995,24.08,73,0,4.12,US,1694724292
20,nema,57.5067,50.5011,11.44,76,72,1.53,RU,1694724296
21,nueva gerona,21.8833,-82.8,32.13,50,41,1.61,CU,1694724296
22,bilibino,68.0546,166.4372,3.79,67,86,1.22,RU,1694724297
23,kailua-kona,19.6406,-155.9956,30.28,70,20,5.14,US,1694724247
24,edinburgh of the seven seas,-37.0676,-12.3116,10.96,63,73,4.13,SH,1694724297
25,ouallam,14.3188,2.0866,34.52,40,2,3.58,NE,1694724297
26,nagqu,31.5,92.0,-0.47,84,35,1.31,CN,1694724298
27,east london,-33.0153,27.9116,15.51,70,44,2.38,ZA,1694724298
28,kununurra,-15.7667,128.7333,24.99,29,24,4.12,AU,1694724298
29,bethel,41.3712,-73.414,25.35,56,0,4.12,US,1694724298
30,kirakira,-10.4544,161.9205,25.65,84,72,1.68,SB,1694724298
31,satuek,15.297,103.2919,23.67,97,100,4.57,TH,1694724299
32,prince albert,53.2001,-105.7677,11.97,87,100,5.14,CA,1694724299
33,khandyga,62.6667,135.6,5.62,97,100,2.21,RU,1694724299
34,tolanaro,-25.0319,46.9987,20.04,94,75,7.2,MG,1694724299
35,lihue,21.9789,-159.3672,28.58,74,75,6.69,US,1694724293
36,port-aux-francais,-49.35,70.2167,3.39,86,93,15.44,TF,1694724300
37,vorkuta,67.5,64.0,9.57,90,100,0.8,RU,1694724300
38,longyearbyen,78.2186,15.6401,2.91,70,40,8.75,SJ,1694724300
39,yuzhno-kurilsk,44.0306,145.8556,15.35,96,100,3.68,RU,1694724300
40,albany,42.6001,-73.9662,21.92,55,4,0.45,US,1694723708
41,enewetak,11.3474,162.3373,28.85,74,97,4.87,MH,1694724301
42,puerto ayora,-0.7393,-90.3518,26.98,86,65,6.71,EC,1694724301
43,avarua,-21.2078,-159.775,25.03,73,20,8.75,CK,1694724301
44,ak-dovurak,51.1833,90.6,9.93,85,100,1.26,RU,1694724302
45,lazaro cardenas,17.9583,-102.2,30.66,72,87,3.34,MX,1694724302
46,udachny,66.4167,112.4,8.25,92,100,5.88,RU,1694724303
47,saint-joseph,-21.3667,55.6167,19.21,79,4,4.24,RE,1694724303
48,nola,40.922,14.5329,24.79,79,49,0.48,IT,1694724304
49,timimoun,29.2639,0.231,34.21,11,40,4.63,DZ,1694724304
50,acajutla,13.5928,-89.8275,29.86,69,96,2.25,SV,1694724046
51,georgetown,5.4112,100.3354,27.96,84,20,2.68,MY,1694724258
52,vilyuchinsk,52.9306,158.4028,11.15,77,100,3.36,RU,1694724305
53,iqaluit,63.7506,-68.5145,3.85,64,75,6.71,CA,1694724305
54,hastings,50.8552,0.5729,16.96,40,22,0.51,GB,1694724305
55,georgievka,49.3314,81.5761,11.65,82,99,3.08,KZ,1694724305
56,port blair,11.6667,92.75,26.02,94,100,1.03,IN,1694724306
